Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Italy,Fondi,64,Moderate,1,Good,39,Good,2,Good,64,Moderate
Cuba,Guisa,79,Moderate,2,Good,15,Good,5,Good,79,Moderate
Germany,Heide,50,Good,1,Good,29,Good,4,Good,50,Good
Germany,Hof,60,Moderate,1,Good,31,Good,3,Good,60,Moderate
Nigeria,Ibadan,79,Moderate,2,Good,21,Good,2,Good,79,Moderate
Spain,Igualada,45,Good,1,Good,33,Good,2,Good,45,Good
Japan,Ikoma,31,Good,1,Good,31,Good,3,Good,25,Good
Madagascar,Ikongo,25,Good,1,Good,21,Good,0,Good,25,Good
Uganda,Kabale,82,Moderate,3,Good,20,Good,1,Good,82,Moderate
Sierra Leone,Kambia,77,Moderate,2,Good,18,Good,1,Good,77,Moderate
United States of America,Dania Beach,35,Good,1,Good,35,Good,1,Good,30,Good
United States of America,Drexel Hill,45,Good,1,Good,42,Good,2,Good,45,Good
Croatia,Dubrovnik,66,Moderate,1,Good,45,Good,0,Good,66,Moderate
United Kingdom of Great Britain and Northern Ireland,Dunstable,32,Good,1,Good,30,Good,1,Good,32,Good
United States of America,East Norriton,48,Good,1,Good,48,Good,1,Good,41,Good
United States of America,East Palo Alto,50,Good,1,Good,32,Good,3,Good,50,Good
India,Tiruvalla,86,Moderate,2,Good,18,Good,4,Good,86,Moderate
Canada,Toronto,38,Good,1,Good,25,Good,3,Good,38,Good
Italy,Trani,57,Moderate,1,Good,57,Moderate,0,Good,49,Good
,Troon,38,Good,1,Good,37,Good,0,Good,38,Good
United States of America,Troutdale,55,Moderate,2,Good,19,Good,8,Good,55,Moderate
United States of America,Tupelo,63,Moderate,1,Good,42,Good,2,Good,63,Moderate
Poland,Turek,42,Good,1,Good,42,Good,0,Good,35,Good
Chile,Vallenar,17,Good,0,Good,17,Good,1,Good,14,Good
Republic of North Macedonia,Veles,72,Moderate,1,Good,45,Good,0,Good,72,Moderate
Germany,Soltau,43,Good,1,Good,43,Good,0,Good,26,Good
United States of America,South Hadley,48,Good,1,Good,42,Good,1,Good,48,Good
Netherlands,Staphorst,37,Good,0,Good,37,Good,0,Good,28,Good
Kazakhstan,Stepnogorsk,27,Good,1,Good,27,Good,0,Good,24,Good
United States of America,Streator,57,Moderate,1,Good,40,Good,1,Good,57,Moderate
Germany,Sulzbach,64,Moderate,1,Good,55,Moderate,0,Good,64,Moderate
Germany,Sulzbach,64,Moderate,1,Good,55,Moderate,0,Good,64,Moderate
India,Sundargarh,156,Unhealthy,3,Good,63,Moderate,2,Good,156,Unhealthy
Thailand,Suwannaphum,99,Moderate,2,Good,15,Good,5,Good,99,Moderate
,Svetlyy,35,Good,1,Good,35,Good,0,Good,21,Good
Russian Federation,Taganrog,42,Good,1,Good,42,Good,1,Good,17,Good
Germany,Taufkirchen,68,Moderate,1,Good,64,Moderate,0,Good,68,Moderate
